"","pid","W1_Paranoia1","W1_Paranoia2","W1_Paranoia3","W1_Paranoia4","W1_Paranoia5","W1_Paranoia_Total","W1_Conspiracy_1","W1_Conspiracy_2","W1_Conspiracy_3","W1_Conspiracy_4","W1_Conspiracy_5","W1_Conspiracy_Total","W1_Religion_binary","W1_ReligiousBelief_Total","W1_ReligiousBelief1","W1_ReligiousBelief2","W1_ReligiousBelief3","W1_ReligiousBelief4","W1_ReligiousBelief5","W1_ReligiousBelief6","W1_ReligiousBelief7","W1_ReligiousBelief8","W1_ReligiousBelief2_R","W1_ReligiousBelief4_R","W1_ReligiousBelief6_R","W1_ReligiousBelief8_R","W1_Political_Scale","W1_Nationalism1","W1_Nationalism2","W1_Nationalism_Total","W1_Death_Anxiety_Total","W1_DAI1","W1_DAI2","W1_DAI3","W1_DAI4","W1_DAI5","W1_DAI6","W1_DAI7","W1_DAI8","W1_DAI9","W1_DAI10","W1_DAI11","W1_DAI12","W1_DAI13","W1_DAI14","W1_DAI15","W1_DAI16","W1_DAI17","W1_CRT1","W1_CRT2","W1_CRT3","W1_CRT4","W1_CRT5","W1_ReligiousBelief1_R","W1_ReligiousBelief3_R","W1_ReligiousBelief5_R","W1_ReligiousBelief7_R","W1_TotalCRT","W1_Gender","W1_Age_year","W1_Age_categories"
"2",1067992883,3,1,1,1,1,7,11,9,2,5,2,29,0,40,5,1,5,1,5,1,5,1,5,5,5,5,6,5,5,10,20,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,2,4,3,1,1,1,1,1,2,64,5
"3",1072329704,3,4,3,4,3,17,9,9,9,8,10,45,0,30,3,3,4,2,4,2,4,2,3,4,4,4,4,4,4,8,43,1,2,2,3,3,1,2,2,3,3,4,3,3,3,1,4,3,2,2,2,2,2,3,2,2,2,2,2,57,5
"4",1073166788,2,4,4,4,5,19,6,8,7,7,7,35,1,24,4,3,3,3,3,4,3,3,3,3,2,3,5,4,4,8,47,4,4,2,3,4,4,4,2,2,2,2,2,4,2,1,1,4,2,2,2,4,3,2,3,3,3,0,1,42,3
"6",1073527089,3,3,3,3,3,15,6,6,6,6,6,30,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,44,4,3,2,3,3,2,2,2,3,3,3,2,3,2,3,2,2,2,2,2,4,2,3,3,3,3,1,2,45,4
"7",1073967191,1,1,1,1,2,6,11,11,7,7,7,43,1,15,1,4,3,4,3,5,1,4,2,2,1,2,6,3,3,6,25,2,1,2,1,2,1,1,2,1,1,1,2,4,1,1,1,1,2,2,2,4,2,5,3,3,5,1,2,33,2
"10",1077686493,3,3,3,3,3,15,6,6,6,6,6,30,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,3,3,3,3,3,0,2,35,3
"15",1094817277,1,1,1,1,1,5,7,8,7,1,2,25,0,40,5,1,5,1,5,1,5,1,5,5,5,5,2,3,3,6,24,1,1,1,1,2,1,1,5,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,1,1,1,5,1,32,2
"17",1105315898,1,1,1,1,1,5,7,8,1,1,2,19,1,26,3,5,3,1,3,4,5,2,1,5,2,4,8,3,5,8,22,1,1,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,3,1,1,2,2,3,3,3,1,4,1,57,5
"18",1107948504,1,1,1,1,3,7,10,9,8,8,9,44,1,28,3,2,4,2,3,3,3,2,4,4,3,4,5,4,3,7,45,1,1,3,4,4,3,4,3,4,4,2,2,2,1,3,2,2,2,3,2,4,3,3,2,3,3,0,2,63,5
"21",1113422142,3,4,5,2,5,19,7,8,7,8,8,38,0,40,5,1,5,1,5,1,5,1,5,5,5,5,5,5,5,10,31,2,2,3,2,2,2,2,3,2,2,2,1,2,1,1,1,1,2,2,2,3,3,1,1,1,1,0,2,70,6
